P,1,1,1.12,0.1386,0,-0.01948,0,0.28,0,0.07794,0,0.5546
C,1.039,1,1.397,1.063,1,1.571,0.07
S,1.063,1,1.571,0.105
C,1.032,1.14,1.348,1.032,1.21,1.348,0.05
C,1.032,1.21,1.348,0.9068,1.21,1.179,0.042
C,0.9068,1.21,1.179,1.194,1.21,0.9339,0.042
C,1.032,0.86,1.348,1.032,0.79,1.348,0.05
C,1.032,0.79,1.348,0.9978,0.79,1.14,0.042
C,0.9978,0.79,1.14,1.374,0.7544,1.124,0.042
C,0.961,1.07,0.8427,1.166,1.07,0.4759,0.07
C,1.166,1.07,0.4759,0.8359,1.07,0.2909,0.042
C,0.8123,1.07,0.2923,0.9269,1.07,0.1483,0.028
C,0.961,0.93,0.8427,0.7826,0.93,0.4625,0.07
C,0.7826,0.93,0.4625,0.4267,0.93,0.335,0.042
C,0.4161,0.93,0.3441,0.4338,0.93,0.1608,0.028
