P,1,1,1.12,0.14,0,0,0,0.28,0,0,0,0.56
C,1,1,1.4,1,1,1.575,0.07
S,1,1,1.575,0.105
C,1,1.14,1.35,1,1.21,1.35,0.05
C,1,1.21,1.35,1.051,1.21,1.147,0.042
C,1.051,1.21,1.147,1.266,1.21,0.8352,0.042
C,1,0.86,1.35,1,0.79,1.35,0.05
C,1,0.79,1.35,1.003,0.79,1.14,0.042
C,1.003,0.79,1.14,1.106,0.7761,0.7768,0.042
C,1,1.07,0.84,0.9948,1.07,0.42,0.07
C,0.9948,1.07,0.42,0.9593,1.07,0.04367,0.042
C,0.9444,1.07,0.02616,1.126,1.07,-0.0008225,0.028
C,1,0.93,0.84,1.149,0.93,0.4472,0.07
C,1.149,0.93,0.4472,0.9342,0.93,0.1358,0.042
C,0.9151,0.93,0.1336,1.091,0.93,0.08124,0.028
