P,1,1,1.12,0.14,0,0,0,0.28,0,0,0,0.56
C,1,1,1.4,1,1,1.575,0.07
S,1,1,1.575,0.105
C,1,1.14,1.35,1,1.21,1.35,0.05
C,1,1.21,1.35,1.071,1.21,1.153,0.042
C,1.071,1.21,1.153,1.339,1.21,0.8852,0.042
C,1,0.86,1.35,1,0.79,1.35,0.05
C,1,0.79,1.35,0.9814,0.79,1.141,0.042
C,0.9814,0.79,1.141,1.049,0.7641,0.7698,0.042
C,1,1.07,0.84,0.9274,1.07,0.4263,0.07
C,0.9274,1.07,0.4263,0.6752,1.07,0.1447,0.042
C,0.6528,1.07,0.1395,0.8062,1.07,0.03776,0.028
C,1,0.93,0.84,1.21,0.93,0.4762,0.07
C,1.21,0.93,0.4762,1.222,0.93,0.09829,0.042
C,1.208,0.93,0.08514,1.39,0.93,0.1125,0.028
